Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.76,-119.38,90.0,top
C11,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,153.416,-127.0215,-90.0,top
C12,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,157.988,-127.0,-90.0,top
C13,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,115.1465,-87.252,0.0,top
C14,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.666,-96.012,-90.0,top
C17,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,166.116,-105.288,-90.0,top
C18,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,138.938,-129.54,-90.0,top
C2,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,97.5145,-101.6,0.0,top
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,97.028,-96.012,-90.0,top
C4,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,138.176,-111.252,-90.0,top
C5,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,152.908,-108.204,-90.0,top
C6,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119.507,-131.064,-90.0,top
C7,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,148.336,-93.98,180.0,top
C8,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,153.416,-100.208,-90.0,top
C9,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,115.824,-119.38,90.0,top
D3,D,D_2512_6332Metric_Pad1.52x3.35mm_HandSolder,148.844,-110.744,-90.0,top
D4,D,D_2512_6332Metric_Pad1.52x3.35mm_HandSolder,106.68,-125.4155,90.0,top
D5,D,D_2512_6332Metric_Pad1.52x3.35mm_HandSolder,112.903,-128.143,180.0,top
D6,D,D_2512_6332Metric_Pad1.52x3.35mm_HandSolder,164.592,-122.936,90.0,top
D7,D,D_2512_6332Metric_Pad1.52x3.35mm_HandSolder,156.464,-117.348,0.0,top
J4,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,100.934,-89.487,180.0,top
L1,10uH,L_Axial_L5.3mm_D2.2mm_P10.16mm_Horizontal_Vishay_IM-1,143.256,-104.648,0.0,top
L2,10uH,L_Axial_L5.3mm_D2.2mm_P10.16mm_Horizontal_Vishay_IM-1,166.116,-99.568,0.0,top
Q1,2N7002,SOT-23,117.7775,-98.044,180.0,top
R10,27k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,146.2145,-130.048,90.0,top
R12,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,145.796,-109.728,-90.0,top
R13,15K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,145.796,-112.268,-90.0,top
R14,100k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,145.796,-107.188,-90.0,top
R15,R_Shunt_US,R_Axial_Shunt_L22.2mm_W8.0mm_PS14.30mm_P25.40mm,155.448,-88.646,0.0,top
R16,56K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,161.036,-103.653,90.0,top
R17,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,161.036,-106.193,-90.0,top
R18,10,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,143.764,-94.0695,-90.0,top
R19,10,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,155.956,-94.9065,-90.0,top
R3,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,119.888,-94.996,90.0,top
R6,1.5k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,115.604,-92.332,0.0,top
R7,2.7k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,114.3,-97.92,90.0,top
R8,2.7k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,116.0515,-89.792,180.0,top
R9,27k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,127.0,-130.556,90.0,top
S1,SS12D07VG4,SW_SS12D07VG4,135.668,-118.872,0.0,top
U1,CH224K,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,110.694,-92.4295,-90.0,top
U10,TPS2553DBVR,SOT95P280X145-6N,123.653,-129.982,0.0,top
U11,TPS2553DBVR,SOT95P280X145-6N,142.987,-129.098,0.0,top
U2,BQ24074RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,120.2915,-90.8945,90.0,top
U3,TPS62200DBV,SOT-23-5,157.3585,-101.158,0.0,top
U4,MT3608,SOT-23-6,142.1185,-108.27,180.0,top
U5,DRV8835DSSR,DSS0012A,113.725999,-123.21,0.0,top
U6,DRV8835DSSR,DSS0012A,156.398002,-122.686,180.0,top
U7,INA219AxDCN,SOT-23-8,147.869,-98.6735,-90.0,top
