Comment,Designator,Footprint,LCSC,Quantity
10uH,"L1,L2",L_Axial_L5.3mm_D2.2mm_P10.16mm_Horizontal_Vishay_IM-1,C1046,2
DRV8835DSSR,"U5,U6",DSS0012A,C129328,2
10uF,"C17,C18,C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850,3
TYPE-C-31-M-12,J4,HRO_TYPE-C-31-M-12,C165948,1
2.7k,"R7,R8",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C17530,2
27k,"R10,R9",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C17593,2
SS12D07VG4,S1,SW_SS12D07VG4,C22435633,1
56K,R16,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C23206,1
10,"R18,R19",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25077,2
100k,R14,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25741,1
10k,"R12,R17,R3",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744,3
15K,R13,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25756,1
1.5k,R6,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25867,1
100nF,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233,1
1uF,"C10,C11,C12,C13,C14,C2,C7,C8,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323,9
22uF,"C4,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C45783,2
BQ24074RGT,U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,C54313,1
TPS2553DBVR,"U10,U11",SOT95P280X145-6N,C55266,2
R_Shunt_US,R15,R_Axial_Shunt_L22.2mm_W8.0mm_PS14.30mm_P25.40mm,C7467250,1
MT3608,U4,SOT-23-6,C84817,1
2N7002,Q1,SOT-23,C8545,1
INA219AxDCN,U7,SOT-23-8,C87469,1
TPS62200DBV,U3,SOT-23-5,C9048,1
D,"D3,D4,D5,D6,D7",D_2512_6332Metric_Pad1.52x3.35mm_HandSolder,C95872,5
CH224K,U1,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,C970725,1
